location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_per_thousand,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,population,gdp_per_capita
Afghanistan,24/02/2020,1,1,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,25/02/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,26/02/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,27/02/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,28/02/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,29/02/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,01/03/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,02/03/2020,1,0,,,0.026,,,,,,,,,,,38928341,1803.987
Afghanistan,03/03/2020,2,1,,,0.051,,,,,,,,,,,38928341,1803.987
Afghanistan,04/03/2020,4,2,,,0.103,,,,,,,,,,,38928341,1803.987
Afghanistan,05/03/2020,4,0,,,0.103,,,,,,,,,,,38928341,1803.987
Afghanistan,06/03/2020,4,0,,,0.103,,,,,,,,,,,38928341,1803.987
Afghanistan,07/03/2020,4,0,,,0.103,,,,,,,,,,,38928341,1803.987
Afghanistan,08/03/2020,5,1,,,0.128,,,,,,,,,,,38928341,1803.987
Afghanistan,09/03/2020,7,2,,,0.18,,,,,,,,,,,38928341,1803.987
Afghanistan,10/03/2020,8,1,,,0.206,,,,,,,,,,,38928341,1803.987
Afghanistan,11/03/2020,11,3,,,0.283,,,,,,,,,,,38928341,1803.987
Afghanistan,12/03/2020,12,1,,,0.308,,,,,,,,,,,38928341,1803.987
Afghanistan,13/03/2020,13,1,,,0.334,,,,,,,,,,,38928341,1803.987
Afghanistan,14/03/2020,15,2,,,0.385,,,,,,,,,,,38928341,1803.987
Afghanistan,15/03/2020,16,1,,,0.411,,,,,,,,,,,38928341,1803.987
Afghanistan,16/03/2020,18,2,,,0.462,,,,,,,,,,,38928341,1803.987
Afghanistan,17/03/2020,20,2,,,0.514,,,,,,,,,,,38928341,1803.987
Afghanistan,18/03/2020,24,4,,,0.617,,,,,,,,,,,38928341,1803.987
Afghanistan,19/03/2020,25,1,,,0.642,,,,,,,,,,,38928341,1803.987
Afghanistan,20/03/2020,29,4,,,0.745,,,,,,,,,,,38928341,1803.987
Afghanistan,21/03/2020,30,1,,,0.771,,,,,,,,,,,38928341,1803.987
Afghanistan,22/03/2020,34,4,1,1,0.873,0.026,,,,,,,,,,38928341,1803.987
Afghanistan,23/03/2020,41,7,1,0,1.053,0.026,,,,,,,,,,38928341,1803.987
Afghanistan,24/03/2020,43,2,1,0,1.105,0.026,,,,,,,,,,38928341,1803.987
Afghanistan,25/03/2020,76,33,2,1,1.952,0.051,,,,,,,,,,38928341,1803.987
Afghanistan,26/03/2020,80,4,3,1,2.055,0.077,,,,,,,,,,38928341,1803.987
Afghanistan,27/03/2020,91,11,3,0,2.338,0.077,,,,,,,,,,38928341,1803.987
Afghanistan,28/03/2020,107,16,4,1,2.749,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,29/03/2020,118,11,4,0,3.031,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,30/03/2020,146,28,4,0,3.75,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,31/03/2020,175,29,4,0,4.495,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,01/04/2020,197,22,4,0,5.061,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,02/04/2020,240,43,4,0,6.165,0.103,,,,,,,,,,38928341,1803.987
Afghanistan,03/04/2020,275,35,8,4,7.064,0.206,,,,,,,,,,38928341,1803.987
Afghanistan,04/04/2020,300,25,10,2,7.706,0.257,,,,,,,,,,38928341,1803.987
Afghanistan,05/04/2020,338,38,12,2,8.683,0.308,,,,,,,,,,38928341,1803.987
Afghanistan,06/04/2020,368,30,15,3,9.453,0.385,,,,,,,,,,38928341,1803.987
Afghanistan,07/04/2020,424,56,16,1,10.892,0.411,,,,,,,,,,38928341,1803.987
Afghanistan,08/04/2020,445,21,16,0,11.431,0.411,,,,,,,,,,38928341,1803.987
Afghanistan,09/04/2020,485,40,17,1,12.459,0.437,,,,,,,,,,38928341,1803.987
Afghanistan,10/04/2020,532,47,18,1,13.666,0.462,,,,,,,,,,38928341,1803.987
Afghanistan,11/04/2020,556,24,18,0,14.283,0.462,,,,,,,,,,38928341,1803.987
Afghanistan,12/04/2020,608,52,19,1,15.618,0.488,,,,,,,,,,38928341,1803.987
Afghanistan,13/04/2020,666,58,22,3,17.108,0.565,,,,,,,,,,38928341,1803.987
Afghanistan,14/04/2020,715,49,23,1,18.367,0.591,,,,,,,,,,38928341,1803.987
Afghanistan,15/04/2020,785,70,29,6,20.165,0.745,,,,,,,,,,38928341,1803.987
Afghanistan,16/04/2020,841,56,30,1,21.604,0.771,,,,,,,,,,38928341,1803.987
Afghanistan,17/04/2020,907,66,30,0,23.299,0.771,,,,,,,,,,38928341,1803.987
Afghanistan,18/04/2020,934,27,30,0,23.993,0.771,,,,,,,,,,38928341,1803.987
Afghanistan,19/04/2020,997,63,33,3,25.611,0.848,,,,,,,,,,38928341,1803.987
Afghanistan,20/04/2020,1027,30,36,3,26.382,0.925,,,,,,,,,,38928341,1803.987
Afghanistan,21/04/2020,1093,66,36,0,28.077,0.925,,,,,,,,,,38928341,1803.987
Afghanistan,22/04/2020,1177,84,40,4,30.235,1.028,,,,,,,,,,38928341,1803.987
Afghanistan,23/04/2020,1236,59,40,0,31.751,1.028,,,,,,,,,,38928341,1803.987
Afghanistan,24/04/2020,1331,95,43,3,34.191,1.105,,,,,,,,,,38928341,1803.987
Afghanistan,25/04/2020,1464,133,47,4,37.608,1.207,,,,,,,,,,38928341,1803.987
Afghanistan,26/04/2020,1532,68,52,5,39.354,1.336,,,,,,,,,,38928341,1803.987
Afghanistan,27/04/2020,1704,172,58,6,43.773,1.49,,,,,,,,,,38928341,1803.987
Afghanistan,28/04/2020,1830,126,59,1,47.009,1.516,,,,,,,,,,38928341,1803.987
Afghanistan,29/04/2020,1940,110,61,2,49.835,1.567,,,,,,,,,,38928341,1803.987
Afghanistan,30/04/2020,2127,187,64,3,54.639,1.644,,,,,,,,,,38928341,1803.987
Afghanistan,01/05/2020,2291,164,68,4,58.852,1.747,,,,,,,,,,38928341,1803.987
Afghanistan,02/05/2020,2470,179,72,4,63.45,1.85,,,,,,,,,,38928341,1803.987
Afghanistan,03/05/2020,2705,235,85,13,69.487,2.183,,,,,,,,,,38928341,1803.987
Afghanistan,04/05/2020,2895,190,90,5,74.367,2.312,,,,,,,,,,38928341,1803.987
Afghanistan,05/05/2020,3225,330,95,5,82.845,2.44,,,,,,,,,,38928341,1803.987
Afghanistan,06/05/2020,3393,168,104,9,87.16,2.672,,,,,,,,,,38928341,1803.987
Afghanistan,07/05/2020,3564,171,106,2,91.553,2.723,,,,,,,,,,38928341,1803.987
Afghanistan,08/05/2020,3781,217,109,3,97.127,2.8,,,,,,,,,,38928341,1803.987
Afghanistan,09/05/2020,4042,261,115,6,103.832,2.954,,,,,,,,,,38928341,1803.987
Afghanistan,10/05/2020,4403,361,120,5,113.105,3.083,,,,,,,,,,38928341,1803.987
Afghanistan,11/05/2020,4687,284,122,2,120.401,3.134,,,,,,,,,,38928341,1803.987
Afghanistan,12/05/2020,4968,281,127,5,127.619,3.262,,,,,,,,,,38928341,1803.987
Afghanistan,13/05/2020,5227,259,132,5,134.272,3.391,,,,,,,,,,38928341,1803.987
Afghanistan,14/05/2020,5640,413,136,4,144.882,3.494,,,,,,,,,,38928341,1803.987
Afghanistan,15/05/2020,6054,414,153,17,155.517,3.93,,,,,,,,,,38928341,1803.987
Afghanistan,16/05/2020,6403,349,168,15,164.482,4.316,,,,,,,,,,38928341,1803.987
Afghanistan,17/05/2020,6665,262,170,2,171.212,4.367,,,,,,,,,,38928341,1803.987
Afghanistan,18/05/2020,7073,408,173,3,181.693,4.444,,,,,,,,,,38928341,1803.987
Afghanistan,19/05/2020,7654,581,178,5,196.618,4.573,,,,,,,,,,38928341,1803.987
Afghanistan,20/05/2020,8146,492,188,10,209.256,4.829,,,,,,,,,,38928341,1803.987
Afghanistan,21/05/2020,8677,531,194,6,222.897,4.984,,,,,,,,,,38928341,1803.987
Afghanistan,22/05/2020,9219,542,206,12,236.82,5.292,,,,,,,,,,38928341,1803.987
Afghanistan,23/05/2020,10001,782,217,11,256.908,5.574,,,,,,,,,,38928341,1803.987
Afghanistan,24/05/2020,10585,584,219,2,271.91,5.626,,,,,,,,,,38928341,1803.987
Afghanistan,25/05/2020,11176,591,220,1,287.092,5.651,,,,,,,,,,38928341,1803.987
Afghanistan,26/05/2020,11834,658,221,1,303.994,5.677,,,,,,,,,,38928341,1803.987
Afghanistan,27/05/2020,12459,625,228,7,320.05,5.857,,,,,,,,,,38928341,1803.987
Afghanistan,28/05/2020,13039,580,236,8,334.949,6.062,,,,,,,,,,38928341,1803.987
Afghanistan,29/05/2020,13662,623,247,11,350.953,6.345,,,,,,,,,,38928341,1803.987
Afghanistan,30/05/2020,14528,866,250,3,373.199,6.422,,,,,,,,,,38928341,1803.987
Afghanistan,31/05/2020,15208,680,258,8,390.667,6.628,,,,,,,,,,38928341,1803.987
Afghanistan,01/06/2020,15753,545,266,8,404.667,6.833,,,,,,,,,,38928341,1803.987
Afghanistan,02/06/2020,16512,759,274,8,424.164,7.039,,,,,,,,,,38928341,1803.987
Afghanistan,03/06/2020,17270,758,298,24,443.636,7.655,,,,,,,,,,38928341,1803.987
Afghanistan,04/06/2020,18057,787,304,6,463.852,7.809,,,,,,,,,,38928341,1803.987
Afghanistan,05/06/2020,18972,915,313,9,487.357,8.04,,,,,,,,,,38928341,1803.987
Afghanistan,06/06/2020,19554,582,331,18,502.308,8.503,,,,,,,,,,38928341,1803.987
Afghanistan,07/06/2020,20345,791,361,30,522.627,9.273,,,,,,,,,,38928341,1803.987
Afghanistan,08/06/2020,20920,575,373,12,537.398,9.582,,,,,,,,,,38928341,1803.987
Afghanistan,09/06/2020,21462,542,388,15,551.321,9.967,,,,,,,,,,38928341,1803.987
Afghanistan,10/06/2020,22146,684,409,21,568.891,10.506,,,,,,,,,,38928341,1803.987
Afghanistan,11/06/2020,22894,748,430,21,588.106,11.046,,,,,,,,,,38928341,1803.987
Afghanistan,12/06/2020,23550,656,450,20,604.958,11.56,,,,,,,,,,38928341,1803.987
Afghanistan,13/06/2020,24106,556,455,5,619.24,11.688,,,,,,,,,,38928341,1803.987
Afghanistan,14/06/2020,24770,664,475,20,636.297,12.202,,,,,,,,,,38928341,1803.987
Afghanistan,15/06/2020,25531,761,482,7,655.846,12.382,,,,,,,,,,38928341,1803.987
Afghanistan,16/06/2020,26314,783,495,13,675.96,12.716,,,,,,,,,,38928341,1803.987
Afghanistan,17/06/2020,26878,564,508,13,690.448,13.05,,,,,,,,,,38928341,1803.987
Afghanistan,18/06/2020,27536,658,550,42,707.351,14.129,,,,,,,,,,38928341,1803.987
Afghanistan,19/06/2020,27882,346,552,2,716.239,14.18,,,,,,,,,,38928341,1803.987
Afghanistan,20/06/2020,28428,546,573,21,730.265,14.719,,,,,,,,,,38928341,1803.987
Afghanistan,21/06/2020,28837,409,585,12,740.771,15.028,,,,,,,,,,38928341,1803.987
Afghanistan,22/06/2020,29147,310,597,12,748.735,15.336,,,,,,,,,,38928341,1803.987
Afghanistan,23/06/2020,29471,324,617,20,757.058,15.85,,,,,,,,,,38928341,1803.987
Afghanistan,24/06/2020,29705,234,638,21,763.069,16.389,,,,,,,,,,38928341,1803.987
Afghanistan,25/06/2020,30165,460,674,36,774.885,17.314,,,,,,,,,,38928341,1803.987
Afghanistan,26/06/2020,30441,276,682,8,781.975,17.519,,,,,,,,,,38928341,1803.987
Afghanistan,27/06/2020,30606,165,716,34,786.214,18.393,,,,,,,,,,38928341,1803.987
Afghanistan,28/06/2020,30957,351,728,12,795.23,18.701,,,,,,,,,,38928341,1803.987
Afghanistan,29/06/2020,31228,271,740,12,802.192,19.009,,,,,,,,,,38928341,1803.987
Afghanistan,30/06/2020,31507,279,752,12,809.359,19.318,,,,,,,,,,38928341,1803.987
Afghanistan,01/07/2020,31826,319,780,28,817.553,20.037,,,,,,,,,,38928341,1803.987
Afghanistan,02/07/2020,32012,186,809,29,822.331,20.782,,,,,,,,,,38928341,1803.987
Afghanistan,03/07/2020,32314,302,821,12,830.089,21.09,,,,,,,,,,38928341,1803.987
Afghanistan,04/07/2020,32662,348,828,7,839.029,21.27,,,,,,,,,,38928341,1803.987
Afghanistan,05/07/2020,32941,279,866,38,846.196,22.246,,,,,,,,,,38928341,1803.987
Afghanistan,06/07/2020,33180,239,900,34,852.335,23.119,,,,,,,,,,38928341,1803.987
Afghanistan,07/07/2020,33374,194,922,22,857.319,23.685,,,,,,,,,,38928341,1803.987
Afghanistan,08/07/2020,33584,210,939,17,862.713,24.121,,,,,,,,,,38928341,1803.987
Afghanistan,09/07/2020,33898,314,959,20,870.779,24.635,,,,,,,,,,38928341,1803.987
Afghanistan,10/07/2020,34184,286,973,14,878.126,24.995,,,,,,,,,,38928341,1803.987
Afghanistan,11/07/2020,34356,172,996,23,882.545,25.585,,,,,,,,,,38928341,1803.987
Afghanistan,12/07/2020,34441,85,1012,16,884.728,25.996,,,,,,,,,,38928341,1803.987
Afghanistan,13/07/2020,34595,154,1040,28,888.684,26.716,,,,,,,,,,38928341,1803.987
Afghanistan,14/07/2020,34730,135,1064,24,892.152,27.332,,,,,,,,,,38928341,1803.987
Afghanistan,15/07/2020,34984,254,1096,32,898.677,28.154,,,,,,,,,,38928341,1803.987
Afghanistan,16/07/2020,35060,76,1117,21,900.629,28.694,,,,,,,,,,38928341,1803.987
Afghanistan,17/07/2020,35219,159,1149,32,904.714,29.516,,,,,,,,,,38928341,1803.987
Afghanistan,18/07/2020,35279,60,1166,17,906.255,29.952,,,,,,,,,,38928341,1803.987
Afghanistan,19/07/2020,35453,174,1183,17,910.725,30.389,,,,,,,,,,38928341,1803.987
Afghanistan,20/07/2020,35493,40,1185,2,911.752,30.441,,,,,,,,,,38928341,1803.987
Afghanistan,21/07/2020,35605,112,1188,3,914.629,30.518,,,,,,,,,,38928341,1803.987
Afghanistan,22/07/2020,35717,112,1192,4,917.506,30.62,,,,,,,,,,38928341,1803.987
Afghanistan,23/07/2020,35918,201,1213,21,922.67,31.16,,,,,,,,,,38928341,1803.987
Afghanistan,24/07/2020,35978,60,1227,14,924.211,31.519,,,,,,,,,,38928341,1803.987
Afghanistan,25/07/2020,36026,48,1249,22,925.444,32.085,,,,,,,,,,38928341,1803.987
Afghanistan,26/07/2020,36147,121,1261,12,928.552,32.393,,,,,,,,,,38928341,1803.987
Afghanistan,27/07/2020,36253,106,1271,10,931.275,32.65,,,,,,,,,,38928341,1803.987
Afghanistan,28/07/2020,36358,105,1272,1,933.973,32.675,,,,,,,,,,38928341,1803.987
Afghanistan,29/07/2020,36463,105,1273,1,936.67,32.701,,,,,,,,,,38928341,1803.987
Afghanistan,30/07/2020,36532,69,1283,10,938.442,32.958,,,,,,,,,,38928341,1803.987
Afghanistan,31/07/2020,36665,133,1284,1,941.859,32.984,,,,,,,,,,38928341,1803.987
Afghanistan,01/08/2020,36700,35,1285,1,942.758,33.009,,,,,,,,,,38928341,1803.987
Afghanistan,02/08/2020,36701,1,1286,1,942.784,33.035,,,,,,,,,,38928341,1803.987
Afghanistan,03/08/2020,36737,36,1290,4,943.708,33.138,,,,,,,,,,38928341,1803.987
Afghanistan,04/08/2020,36773,36,1290,0,944.633,33.138,,,,,,,,,,38928341,1803.987
Afghanistan,05/08/2020,36820,47,1296,6,945.84,33.292,,,,,,,,,,38928341,1803.987
Afghanistan,06/08/2020,36928,108,1301,5,948.615,33.42,,,,,,,,,,38928341,1803.987
Afghanistan,07/08/2020,37006,78,1310,9,950.618,33.652,,,,,,,,,,38928341,1803.987
Afghanistan,08/08/2020,37046,40,1315,5,951.646,33.78,,,,,,,,,,38928341,1803.987
Afghanistan,09/08/2020,37083,37,1321,6,952.596,33.934,,,,,,,,,,38928341,1803.987
Afghanistan,10/08/2020,37153,70,1329,8,954.395,34.14,,,,,,,,,,38928341,1803.987
Afghanistan,11/08/2020,37260,107,1346,17,957.143,34.576,,,,,,,,,,38928341,1803.987
Afghanistan,12/08/2020,37336,76,1356,10,959.096,34.833,,,,,,,,,,38928341,1803.987
Afghanistan,13/08/2020,37422,86,1365,9,961.305,35.064,,,,,,,,,,38928341,1803.987
Afghanistan,14/08/2020,37497,75,1370,5,963.231,35.193,,,,,,,,,,38928341,1803.987
Afghanistan,15/08/2020,37542,45,1371,1,964.387,35.219,,,,,,,,,,38928341,1803.987
Afghanistan,16/08/2020,37590,48,1376,5,965.62,35.347,,,,,,,,,,38928341,1803.987
Afghanistan,17/08/2020,37667,77,1378,2,967.598,35.398,,,,,,,,,,38928341,1803.987
