Country,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Cases/Million,Total Deaths/Million,ICU Patients/Million,Hospital Patients/Million,Total Tests/Million,New tests/Million,Positive Rate,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Vaccinations,Population,GDP / capita
Afghanistan,01/02/2021,55059,36,2404,4,1414.368,61.754,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,01/03/2021,55733,19,2444,1,1431.682,62.782,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,01/04/2021,56517,63,2489,5,1451.821,63.938,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,01/05/2021,59939,194,2631,6,1539.727,67.586,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,02/02/2021,55121,62,2405,1,1415.961,61.78,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,02/03/2021,55759,26,2446,2,1432.35,62.833,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,02/04/2021,56572,55,2495,6,1453.234,64.092,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,02/05/2021,60122,183,2637,6,1544.427,67.74,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,03/01/2021,51526,0,2191,0,1323.612,56.283,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,03/02/2021,55174,53,2406,1,1417.322,61.806,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,03/03/2021,55770,11,2446,0,1432.632,62.833,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,03/04/2021,56595,23,2496,1,1453.825,64.118,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,03/05/2021,60300,178,2642,5,1549,67.868,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,04/01/2021,53011,1485,2237,46,1361.759,57.465,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,04/02/2021,55231,57,2407,1,1418.786,61.832,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,04/03/2021,55775,5,2446,0,1432.761,62.833,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,04/04/2021,56676,81,2497,1,1455.906,64.143,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,04/05/2021,60563,263,2648,6,1555.756,68.022,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,05/01/2021,53105,94,2244,7,1364.173,57.644,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,05/02/2021,55265,34,2407,0,1419.66,61.832,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,05/03/2021,55827,52,2449,3,1434.097,62.91,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,05/04/2021,56717,41,2508,11,1456.959,64.426,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,05/05/2021,60797,234,2654,6,1561.767,68.177,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,06/01/2021,53105,0,2244,0,1364.173,57.644,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,06/02/2021,55330,65,2408,1,1421.33,61.857,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,06/03/2021,55840,13,2449,0,1434.431,62.91,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,06/04/2021,56779,62,2512,4,1458.552,64.529,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,06/05/2021,61162,365,2664,10,1571.143,68.433,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,07/01/2021,53207,102,2253,9,1366.793,57.876,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,07/02/2021,55335,5,2410,2,1421.458,61.909,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,07/03/2021,55847,7,2449,0,1434.61,62.91,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,07/04/2021,56873,94,2512,0,1460.966,64.529,0,0,0,0,0,120000,120000,0,0,38928341,1803.987
Afghanistan,07/05/2021,61455,293,2673,9,1578.67,68.665,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,08/01/2021,53332,125,2257,4,1370.004,57.978,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,08/02/2021,55359,24,2413,3,1422.074,61.986,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,08/03/2021,55876,29,2451,2,1435.355,62.962,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,08/04/2021,56943,70,2516,4,1462.765,64.632,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,08/05/2021,61755,300,2683,10,1586.376,68.922,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,09/01/2021,53400,68,2264,7,1371.751,58.158,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,09/02/2021,55384,25,2414,1,1422.717,62.011,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,09/03/2021,55876,0,2451,0,1435.355,62.962,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,09/04/2021,57019,76,2521,5,1464.717,64.76,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,09/05/2021,61842,87,2686,3,1588.611,68.999,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,10/01/2021,53489,89,2277,13,1374.037,58.492,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,10/02/2021,55402,18,2418,4,1423.179,62.114,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,10/03/2021,55894,18,2451,0,1435.818,62.962,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,10/04/2021,57144,125,2521,0,1467.928,64.76,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,10/05/2021,62063,221,2698,12,1594.288,69.307,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,11/01/2021,53538,49,2288,11,1375.296,58.775,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,11/02/2021,55420,18,2419,1,1423.641,62.14,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,11/03/2021,55917,23,2451,0,1436.409,62.962,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,11/04/2021,57160,16,2521,0,1468.339,64.76,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,11/05/2021,62403,340,2710,12,1603.022,69.615,0,0,0,0,0,504502,448878,55624,0,38928341,1803.987
Afghanistan,12/01/2021,53584,46,2301,13,1376.478,59.109,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,12/02/2021,55445,25,2424,5,1424.284,62.268,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,12/03/2021,55959,42,2454,3,1437.487,63.039,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,12/04/2021,57242,82,2529,8,1470.445,64.966,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,12/05/2021,62718,315,2713,3,1611.114,69.692,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,13/01/2021,53584,0,2301,0,1376.478,59.109,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,13/02/2021,55473,28,2427,3,1425.003,62.345,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,13/03/2021,55959,0,2454,0,1437.487,63.039,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,13/04/2021,57364,122,2529,0,1473.579,64.966,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,13/05/2021,63045,327,2721,8,1619.514,69.898,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,14/01/2021,53775,191,2314,13,1381.384,59.443,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,14/02/2021,55492,19,2427,0,1425.491,62.345,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,14/03/2021,55985,26,2457,3,1438.155,63.116,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,14/04/2021,57492,128,2532,3,1476.867,65.043,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,14/05/2021,63355,310,2730,9,1627.478,70.129,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,15/01/2021,53831,56,2324,10,1382.823,59.699,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,15/02/2021,55514,22,2427,0,1426.056,62.345,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,15/03/2021,55985,0,2459,2,1438.155,63.167,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,15/04/2021,57534,42,2533,1,1477.946,65.068,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,15/05/2021,63412,57,2733,3,1628.942,70.206,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,16/01/2021,53938,107,2336,12,1385.572,60.008,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,16/02/2021,55518,4,2428,1,1426.159,62.371,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,16/03/2021,55995,10,2460,1,1438.412,63.193,0,0,0,0,0,54000,54000,0,0,38928341,1803.987
Afghanistan,16/04/2021,57612,78,2535,2,1479.95,65.12,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,16/05/2021,63484,72,2742,9,1630.791,70.437,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,17/01/2021,53984,46,2339,3,1386.753,60.085,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,17/02/2021,55540,22,2428,0,1426.724,62.371,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,17/03/2021,56016,21,2460,0,1438.952,63.193,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,17/04/2021,57721,109,2539,4,1482.75,65.222,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/01/2021,54062,78,2343,4,1388.757,60.188,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/02/2021,55557,17,2430,2,1427.161,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/03/2021,56044,28,2462,2,1439.671,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/04/2021,57793,72,2539,0,1484.6,65.222,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/01/2021,54141,79,2346,3,1390.786,60.265,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/02/2021,55575,18,2430,0,1427.623,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/03/2021,56069,25,2462,0,1440.313,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/04/2021,57898,105,2546,7,1487.297,65.402,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/01/2021,54278,137,2354,8,1394.306,60.47,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/02/2021,55580,5,2430,0,1427.752,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/03/2021,56093,24,2462,0,1440.93,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/04/2021,58037,139,2549,3,1490.868,65.479,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,21/01/2021,54403,125,2363,9,1397.517,60.701,0,0,0,0,0,0,0,0,0,38928341,1803.987
